BatchSize,TestAccuracy,TestLoss,TrainingTime
4,0.9855999946594238,0.05330962687730789,3.84
8,0.983299970626831,0.06178208440542221,1.84
16,0.9843999743461609,0.05153898149728775,0.96
32,0.9842000007629395,0.056250520050525665,0.5
64,0.9853000044822693,0.04686853289604187,0.3
128,0.9825999736785889,0.05749564990401268,0.22
256,0.9848999977111816,0.047754280269145966,0.2
512,0.9800000190734863,0.062220409512519836,0.17
1024,0.9710999727249146,0.09246066212654114,0.16
2048,0.9613000154495239,0.12779229879379272,0.15
